ID,Word
0,191
1,1940
2,2020
3,adapt
4,addressing
5,affects
6,annual
7,assessing
8,average
9,backdrop
10,best
11,billions
12,birth
13,changing
14,come
15,composite
16,conceptual_framework
17,conditions
18,contain
19,countries
20,covering
21,crisis
22,cross
23,cycle
24,decline
25,develops
26,direct
27,direct_indirect
28,disproportionately
29,economic
30,ecosystems
31,effect
32,efforts
33,employing
34,endangered
35,essential
36,estimates
37,females
38,finding
39,fixed
40,forward
41,gas_emissions
42,generally
43,geometric
44,global
45,impact
46,imprimis
47,increases
48,index
49,indirect
50,initiatives
51,interacting
52,investigates
53,life
54,linking
55,males
56,mean_temperature
57,mediated
58,metric
59,minimize
60,mitigation
61,model
62,nation
63,national
64,natural_disasters
65,negative
66,negatively
67,panel
68,pathways
69,people
70,period
71,points
72,population
73,prompt
74,protect
75,public
76,rainfall
77,reduce
78,reduce_greenhouse
79,relationship
80,rise
81,risks
82,status
83,suggests
84,systems
85,temperature
86,today
87,underscores
88,urgency
89,used
90,using
91,variables
92,verge
93,weather
94,years
95,1990
96,2021
97,additionally
98,aims
99,autoregressive
100,based
101,bidirectional
102,bootstrap
103,causality
104,change
105,cointegration
106,considered
107,control
108,determine
109,distributed
110,examine
111,expenditure
112,findings
113,fourier
114,function
115,furthermore
116,government
117,kingdom
118,lag
119,long_run
120,long_term
121,outcomes
122,proxy
123,reduces
124,reveal
125,short_term
126,significant
127,significant_relationship
128,significantly
129,surface_temperature
130,toda
131,unidirectional
132,united
133,utilized
134,variable
135,yamamoto
136,1970
137,2010
138,2050
139,affect
140,air
141,air_pollutant
142,air_pollutants
143,air_pollution
144,analyzed
145,attention
146,background
147,basic
148,changes
149,characteristics
150,china
151,circulation
152,cmip5
153,complex
154,consideration
155,contribute
156,decrease
157,developed_countries
158,diffusion
159,dilution
160,distribution
161,dominated
162,drive
163,effects
164,emission
165,emissions
166,environment
167,especially
168,examined
169,factors
170,feasible
171,fluctuations
172,gains
173,geographical
174,given
175,human
176,important
177,increase
178,increased
179,integrating
180,investigation
181,jointly
182,local
183,locally
184,major
185,matrices
186,maximum
187,mechanism
188,meteorological
189,mode
190,monitoring
191,natural
192,needed
193,performed
194,play
195,policy_making
196,potential
197,precipitation
198,processes
199,reductions
200,respectively
201,response
202,role
203,scale
204,scenario
205,simulation
206,site
207,spatial
208,taking
209,technically
210,times
211,topography
212,total
213,v4a
214,v5a
215,variation
216,variations
217,versions
218,begin
219,duration
220,environmental
221,information
222,issues
223,light
224,nervous
225,overall
226,physical_mental
227,previous
228,proceed
229,quality
230,respiratory_cardiovascular
231,shortens
232,shown
233,sleep
234,threatens
235,188
236,2023
237,333
238,actions
239,age
240,analyzing
241,answer
242,arises
243,assumption
244,behavior
245,carried
246,central
247,city
248,condition
249,covid
250,covid_pandemic
251,death
252,deaths
253,deceased
254,degenerative
255,demonstrate
256,deterioration
257,died
258,diseases
259,dying
260,emergence
261,factor
262,far
263,gender
264,greater
265,guerrero
266,hypothesized
267,infected
268,influenced
269,justice
270,linked
271,lived
272,make
273,marginalization
274,medical
275,mexican
276,mexico
277,morelos
278,municipal
279,municipality
280,new
281,objective
282,order
283,pandemic
284,pathogens
285,person
286,probability
287,puebla
288,question
289,related
290,relating
291,republic
292,risk
293,school
294,selected
295,social
296,south
297,state
298,states
299,variance
300,visible
301,vulnerability
302,work
303,1900
304,1937
305,1946
306,1947
307,1992
308,1996
309,1997
310,1998
311,2000
312,2015
313,230
314,3449
315,articles
316,assess
317,assessed
318,attitudes
319,awareness
320,behaviors
321,beliefs
322,bibliographic
323,bibliographies
324,cinahl
325,cochrane
326,collaboration
327,collection
328,com
329,competencies
330,completed
331,conclusions
332,core
333,cost
334,dart
335,database
336,databases
337,date
338,dissertations
339,duplicates
340,ebesco
341,ebsco
342,electronic
343,electronic_databases
344,embase
345,emergency
346,estimated
347,europe
348,evaluate
349,examining
350,excess
351,exploring
352,fidelity
353,following
354,google_scholar
355,gray
356,greenfile
357,grey
358,hand
359,identify
360,inception
361,instruments
362,jbi
363,knowledge
364,language
365,librarian
366,library
367,literacy
368,measure
369,measuring
370,medline
371,methods
372,million
373,motivation
374,non
375,nurses
376,october
377,opengrey
378,optimal
379,ovid
380,papers
381,predefined
382,premature_deaths
383,proquest
384,provide
385,publications
386,pubmed
387,recorded
388,references
389,regarding
390,relevant
391,reliability
392,removing
393,report
394,representing
395,restrictions
396,retrieve
397,retrieved
398,scales
399,screened
400,search
401,searched
402,searches
403,skills
404,specific
405,strategy
406,systematic
407,temperatures
408,terms
409,theses
410,tools
411,trip
412,unpublished
413,validity
414,web_science
415,wiley
416,year
417,2030
418,account
419,achieve
420,addresses
421,adopted
422,aging
423,ardl
424,attention_paid
425,bounds
426,carbon_emissions
427,conducted
428,costs
429,current
430,development
431,economic_development
432,economies
433,elderly
434,emerging
435,ensure
436,exhibits
437,existed
438,existing
439,expected
440,experience
441,faces
442,future
443,gdp
444,globally
445,goals
446,healthcare
447,increasing
448,indicate
449,key
450,limited
451,line
452,main
453,maintain
454,malaysia
455,outlined
456,particularly
457,pillars
458,proportion
459,relationships
460,requirements
461,rising
462,run
463,sdg
464,sdgs
465,short
466,similar
467,statistically
468,structure
469,sustainable
470,sustainable_development
471,test
472,united_nations
473,urbanization
474,2siv
475,adverse
476,aim
477,aimed
478,aspects
479,average_life
480,basis
481,better
482,cce
483,cities
484,clustering
485,clusters
486,co2_emissions
487,common
488,confirmed
489,consequence
490,consumption
491,correlated
492,decision_making
493,designing
494,different
495,distinct
496,divided
497,education
498,elements
499,estimator
500,expectancy
501,focusing
502,group
503,growth
504,healthier
505,indicating
506,indicators
507,informed
508,insights
509,instrumental
510,integral
511,investigate
512,level
513,living
514,negative_impacts
515,policy
516,pollution
517,positive
518,provides
519,quality_life
520,regression
521,renewable_energy
522,residents
523,resilient
524,responsible
525,serve
526,smart_city
527,specificities
528,stakeholders
529,sustainability
530,tertiary
531,topic
532,transport
533,urban
534,valuable
535,world
536,120
537,accuracy
538,adding
539,address
540,adverse_effects
541,allowing
542,artificial
543,assessment
544,attack
545,balancing
546,bayes
547,binary
548,blockchain
549,causes
550,chlorine
551,classification
552,classifier
553,classifiers
554,concern
555,confusion
556,consume
557,contaminations
558,critical
559,crucial
560,curve
561,dataset
562,decade
563,decision
564,degradation
565,denial
566,descent
567,despite
568,disinfection
569,disrupt
570,emerges
571,employ
572,evaluated
573,excessive
574,features
575,file
576,fluoride
577,gradient
578,hardness
579,heavy
580,hijacking
581,immutable
582,importance
583,innovation
584,integrated
585,intelligence
586,internet
587,interplanetary
588,iot
589,ipfs
590,knn
591,learning
592,ledger
593,levels
594,logistic
595,management
596,manipulation
597,manoeuvre
598,matrix
599,metals
600,methodology
601,metrics
602,microorganisms
603,naive
604,nearest
605,neighbours
606,nitrogen
607,notably
608,novel
609,operational
610,past
611,performance
612,performing
613,phosphorous
614,plant
615,plants
616,polluted
617,population_growth
618,posing
619,potable
620,propose
621,proposed
622,resist
623,sample
624,scalability
625,securely
626,security
627,service
628,session
629,sgdc
630,standard
631,step
632,stochastic
633,stored
634,technology
635,things
636,training
637,transactions
638,treatment
639,tree
640,turned
641,utilizes
642,various
643,water
644,water_quality
645,1974
646,2022
647,addition
648,azerbaijan
649,carbon_dioxide
650,ccr
651,co2
652,country
653,determined
654,directly
655,effectiveness
656,existence
657,fmols
658,fty
659,general
660,high
661,indicator
662,kind
663,kruse
664,kss
665,leads
666,lex
667,nonlinear
668,obtained
669,policies
670,probably
671,revealed
672,root
673,social_economic
674,sollis
675,stationarity
676,stationary
677,tested
678,tests
679,unit
680,welfare
681,104
682,109
683,accelerated
684,acceleration
685,accurately
686,adults
687,association
688,calculations
689,children
690,chronic_disease
691,clock
692,clocks
693,combined
694,controls
695,deleterious
696,diverse
697,dna
698,dnam
699,dnamtl
700,drought
701,eaa
702,epigenetic
703,exposed
704,exposure
705,fewer
706,goal
707,grimage
708,hannum
709,hot
